brokerage,company_number,company_name,CompanyName, CompanyNumber,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
Aon (Cardiff) 606,00210725,AAA INSURANCE & REINSURANCE BROKERS LIMITED,AON UK LIMITED,00210725,LONDON,,UNITED KINGDOM,EC3V 4AN,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
CBC UK Ltd,01973536,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,CBC UK LIMITED,01973536,LONDON,,ENGLAND,E1 8AN,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
A-Plan (RK Harrsion),00750484,AAA INSURANCE & REINSURANCE BROKERS LIMITED,A-PLAN HOLDINGS,00750484,WITNEY,OXFORDSHIRE,,OX28 4LE,Private Unlimited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Aston Lark Limited,02831010,ASTON INSURANCE BROKERS LIMITED,ASTON LARK LIMITED,02831010,LONDON,,UNITED KINGDOM,EC3A 5AF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Lycett Browne-Swinburne & Douglass Ltd (Willis Nework),00706042,"LYCETT, BROWNE-SWINBURNE & DOUGLASS LIMITED","LYCETT, BROWNE-SWINBURNE & DOUGLASS LIMITED",00706042,,,,NE1 1PP,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Robins Row Ltd (Premier),01792228,PDGD 200 LIMITED,ROBINS ROW LIMITED,01792228,LONG MELFORD,SUDBURY,,CO10 9JB,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Robins Row Limited (Premier),01792228,PDGD 200 LIMITED,ROBINS ROW LIMITED,01792228,LONG MELFORD,SUDBURY,,CO10 9JB,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Gauntlet Insurance Services Ltd,01735637,GAUNTLET INSURANCE SERVICES LIMITED,GAUNTLET INSURANCE SERVICES LIMITED,01735637,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Wesleyan Financial Services Limited,01651212,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,WESLEYAN FINANCIAL SERVICES LIMITED,01651212,,,,B4 6AR,Private Limited Company,Active,United Kingdom,65110 - Life insurance,,,
"Arthur J. Gallagher (UK) Ltd (Fine Art, Museums & Exhibitions)",01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Anthony Wakefield & Company Limited,01756254,ANTHONY D EVANS (INSURANCE BROKERS) & CO LTD,ANTHONY WAKEFIELD AND COMPANY LIMITED,01756254,DORKING,"SURREY,",,RH4 3NR,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (London - Private Clients),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Leicester),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Willis Limited (Ipswich),00181116,WILLIS & COMPANY (INSURANCE BROKERS) LIMITED,WILLIS LIMITED,00181116,LONDON,,,EC3M 7DQ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
T L Dallas & Co Ltd,00645405,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),T L DALLAS & CO LIMITED,00645405,BRADFORD,WEST YORKSHIRE,,BD12 0HF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Leeds),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Towergate (Henley),04043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
"A-Plan (Howden UK, Birmingham)",00750484,AAA INSURANCE & REINSURANCE BROKERS LIMITED,A-PLAN HOLDINGS,00750484,WITNEY,OXFORDSHIRE,,OX28 4LE,Private Unlimited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd (Belfast(O),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Sutton Winson Ltd,00546706,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),SUTTON WINSON LIMITED,00546706,TWICKENHAM,MIDDLESEX,,TW1 4AJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Lonmar Global Risks,01302663,LONMAR GLOBAL RISKS LIMITED,LONMAR GLOBAL RISKS LIMITED,01302663,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Churchill Insurance Consultants,LP003358,CHURCHILL INSURANCE CONSULTANTS,CHURCHILL INSURANCE CONSULTANTS,LP003358,,,,,Limited Partnership,Active,United Kingdom,None Supplied,,,
Verlingue (Redhill),04024377,AAA INSURANCE & REINSURANCE BROKERS LIMITED,VERLINGUE LIMITED,04024377,REDHILL,SURREY,UNITED KINGDOM,RH1 6YS,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Lycett Browne-Swinburne & Douglass Ltd (Billingshurst) (Willis Nework),00706042,"LYCETT, BROWNE-SWINBURNE & DOUGLASS LIMITED","LYCETT, BROWNE-SWINBURNE & DOUGLASS LIMITED",00706042,,,,NE1 1PP,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Harold Wilson (Insurances) Limited,00380493,HAROLD WILSON (INSURANCES) LIMITED,HAROLD WILSON (INSURANCES) LIMITED,00380493,,,,NG7 4HG,Private Limited Company,Active,United Kingdom,65110 - Life insurance,,,
Verlingue,04024377,AAA INSURANCE & REINSURANCE BROKERS LIMITED,VERLINGUE LIMITED,04024377,REDHILL,SURREY,UNITED KINGDOM,RH1 6YS,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Todd and Cue Ltd (Brokerbility),01416380,TODD AND CUE LIMITED,TODD AND CUE LIMITED,01416380,"TEAM VALLEY TRADING ESTATE,","GATESHEAD, TYNE & WEAR.",,NE11 0JQ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Private Clients (North),03028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,03028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
"A-Plan (Howden Insurance, London)",00750484,"INSURANCE, RISK & CLAIMS MANAGEMENT LIMITED",A-PLAN HOLDINGS,00750484,WITNEY,OXFORDSHIRE,,OX28 4LE,Private Unlimited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Carroll Holman Insurance Brokers,07540252,CARROLL HARVEY INSURANCE BROKERS LIMITED,CARROLL INSURANCE BROKERS LIMITED,07540252,LONDON,,ENGLAND,EC4N 7BE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Alexander Miller,04833009,DAVID J MILLER INSURANCE BROKERS LIMITED,ALEXANDER MILLER LIMITED,04833009,CHOBHAM,SURREY,ENGLAND,GU24 8JE,Private Limited Company,Active,United Kingdom,64999 - Financial intermediation not elsewhere classified,,,
Lumley Insurance Limited,02813133,LUMLEY INSURANCE LTD,LUMLEY INSURANCE LTD,02813133,CIRENCESTER,,ENGLAND,GL7 1YS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
BHIB Limited t/as Brokerbility Insurance Brokers,00829660,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,BHIB LIMITED,00829660,LEICESTER,,,LE19 1SJ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Aon (HIBL Leeds),00210725,AAA INSURANCE & REINSURANCE BROKERS LIMITED,AON UK LIMITED,00210725,LONDON,,UNITED KINGDOM,EC3V 4AN,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd (Belmont),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Oddie Dalton & Co Ltd,01090813,ODDIE DALTON & COMPANY LIMITED,ODDIE DALTON & COMPANY LIMITED,01090813,NOTTINGHAM,,,NG2 6EP,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
Berkeley Insurance Group UK Ltd (Cleo),01115635,BERKELEY INSURANCE GROUP UK LIMITED,BERKELEY INSURANCE GROUP UK LIMITED,01115635,LEICESTER,,,LE1 1QH,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Clarke Dove (Insurance Brokers) Ltd (Cleo),01620212,CLARKE DOVE (INSURANCE BROKERS) LIMITED,CLARKE DOVE (INSURANCE BROKERS) LIMITED,01620212,NOTTINGHAM,,,NG3 5QR,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Exeter - Stackhouse),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Mathews Comfort & Co Ltd (Cleo),11425200,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),MATHEWS COMFORT GROUP LIMITED,11425200,WITNEY,OXFORDSHIRE,UNITED KINGDOM,OX29 6SW,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
SPF Private Clients Limited,03680970,SPF PRIVATE CLIENTS LIMITED,SPF PRIVATE CLIENTS LIMITED,03680970,LONDON,,ENGLAND,EC3V 0BT,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd (Stackhouse Poole),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Web Shaw Ltd t/a Jacksons,05346950,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),WEB SHAW LTD,05346950,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
David Oliver Associates,05045859,LEWIS OLIVER INSURANCE BROKERS LIMITED,DOA UNDERWRITING LIMITED,05045859,BRAINTREE,,ENGLAND,CM77 7AF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Towergate (Smith & Pinching GIS),02426474,SMITH & PINCHING GENERAL INSURANCE SERVICES LIMITED,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Stackhouse Manchester),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Alan Boswell Insurance Brokers (Cambridge),02591252,ALAN BOSWELL INSURANCE BROKERS LIMITED,ALAN BOSWELL INSURANCE BROKERS LIMITED,02591252,NORWICH,,ENGLAND,NR1 1RE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Alan Boswell Insurance Brokers (Norwich),02591252,ALAN BOSWELL INSURANCE BROKERS LIMITED,ALAN BOSWELL INSURANCE BROKERS LIMITED,02591252,NORWICH,,ENGLAND,NR1 1RE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Towergate (Hull),04043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Bruce Stevenson Insurance Brokers Ltd,SC207315,BRUCE STEVENSON INSURANCE BROKERS LIMITED,BRUCE STEVENSON INSURANCE BROKERS LIMITED,SC207315,,,,EH6 6HJ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Kennett Insurance Brokers Ltd (Cleo),01221144,KENNETT INSURANCE BROKERS LIMITED,KENNETT INSURANCE BROKERS LIMITED,01221144,HESSLE,EAST YORKSHIRE,,HU13 9PD,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
ProAktive Ltd,04323903,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),PROAKTIVE LTD,04323903,DONCASTER,SOUTH YORKSHIRE,,DN4 5NU,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Ault Insurance Brokers (Premier),00119388,AAA INSURANCE & REINSURANCE BROKERS LIMITED,"J.SYDNEY AULT,LIMITED",00119388,WEST BROMWICH,"WEST MIDLANDS ,",,B70 8SD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Towergate (Edinburgh & Borders),04043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
R E Hutt & Company Ltd,00719278,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,R.E.HUTT AND COMPANY LIMITED,00719278,COVENTRY,,ENGLAND,CV5 6ET,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
Russell Scanlan Ltd,01179331,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),"RUSSELL, SCANLAN LIMITED",01179331,NOTTINGHAM,,,NG1 5AJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd,01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
James Hallam Limited,01632840,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,JAMES HALLAM LIMITED,01632840,DORKING,SURREY,,RH4 2HF,Private Limited Company,Active,United Kingdom,65110 - Life insurance,65120 - Non-life insurance,,
KGJ Commercial Insurance Services Limited,03618075,KGJ COMMERCIAL INSURANCE SERVICES LIMITED,KGJ COMMERCIAL INSURANCE SERVICES LIMITED,03618075,CHESHAM,BUCKS,ENGLAND,HP5 3EE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Commercial (Perth),03028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,03028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Ashley Page Insurance Brokers Limited (Hedron Network),00502367,ASHLEY PAGE INSURANCE BROKERS LIMITED,ASHLEY PAGE INSURANCE BROKERS LIMITED,00502367,LONDON,,ENGLAND,N3 2TN,Private Limited Company,Active,United Kingdom,65110 - Life insurance,65120 - Non-life insurance,,
Ernest R Shaw Ltd,00812154,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),ERNEST R.SHAW LIMITED,00812154,CHESHAM,BUCKS,ENGLAND,HP5 3EE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Tony McDonagh & Co Ltd (Cleo),02856600,TONY MCDONAGH & CO LTD.,TONY MCDONAGH & CO LTD.,02856600,ENFIELD,MIDDLESEX,,EN3 7FJ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Abbott & Bramwell Ltd (Cleo),02929143,ABBOTT & BRAMWELL LIMITED,ABBOTT & BRAMWELL LIMITED,02929143,STOCKPORT,,ENGLAND,SK6 8JQ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Commercial (Aberdeen),03028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,03028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
W B Baxter Ltd (Cleo),00277519,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),W.B.BAXTER LIMITED,00277519,ESSEX,,,IG1 4TG,Private Limited Company,Active,United Kingdom,64999 - Financial intermediation not elsewhere classified,65110 - Life insurance,65120 - Non-life insurance,
Erimus Insurance Brokers,07024263,ENDEAVOUR 158 LIMITED,ERIMUS HOLDINGS TEESSIDE LIMITED,07024263,LONDON,,ENGLAND,EC4N 8AW,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd (Liverpool),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Wakefield),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Bollington Ins Brokers Ltd),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Towergate (Warwick),04043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Marsh Commercial Private Clients (PC Midlands),03028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,03028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Luker Rowe - Brokerbility,02326095,LUKER ROWE & COMPANY LIMITED,LUKER ROWE & COMPANY LIMITED,02326095,AMERSHAM,,ENGLAND,HP6 5FB,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
IFM Insurance Brokers Ltd,02680875,IFM INSURANCE BROKERS LTD,IFM INSURANCE BROKERS LTD,02680875,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S9 3BL,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,66220 - Activities of insurance agents and brokers,,
Arthur J Gallagher (UK) Ltd (Gloucester),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Backhouse Insurance Brokers Ltd,00304106,BACKHOUSE INSURANCE BROKERS LIMITED,BACKHOUSE INSURANCE BROKERS LIMITED,00304106,NELSON,LANCASHIRE,ENGLAND,BB9 6RX,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Caunce O’Hara Insurance Brokers Limited,11925887,CAUNCE O'HARA INSURANCE BROKERS LIMITED,CAUNCE O'HARA INSURANCE BROKERS LIMITED,11925887,MANCHESTER,,UNITED KINGDOM,M2 3BA,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Peter Hoare & Co Ltd (Brokerbility),02320981,PETER HOARE & COMPANY (FINANCIAL SERVICES) LIMITED,PETER HOARE & COMPANY (FINANCIAL SERVICES) LIMITED,02320981,SHEFFIELD,SOUTH YORKSHIRE,,S10 3GS,Private Limited Company,Active,United Kingdom,74990 - Non-trading company,,,
COBRA Uk & Ireland Ltd,04223468,COBRA UK & IRELAND INSURANCE CONSULTANTS LIMITED,,,,,,,,,,,,,
Edinburgh Risk Management (General) Ltd,SC222279,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,EDINBURGH RISK MANAGEMENT (GENERAL) LIMITED,SC222279,,,,EH4 3AT,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Marsh Commercial (Glasgow),03028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,03028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Stackhouse Guildford),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Manchester),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
A-Plan (Alton),00750484,,A-PLAN HOLDINGS,00750484,WITNEY,OXFORDSHIRE,,OX28 4LE,Private Unlimited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Turner Rawlinson & Co Ltd (Cleo),01528601,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),TURNER RAWLINSON & COMPANY LIMITED,01528601,LONDON,,,NW9 8TZ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Guest Krieger Limited,01203847,GUEST KRIEGER LIMITED,GUEST KRIEGER LIMITED,01203847,,,,EC3V 3QX,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
Arthur J Gallagher (UK) Ltd (Guernsey),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Birmingham),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
David Roberts & Partners (Insurance Brokers) Ltd,01329408,DAVID ROBERTS & PARTNERS (INSURANCE BROKERS) LIMITED,DAVID ROBERTS & PARTNERS (INSURANCE BROKERS) LIMITED,01329408,SOUTHPORT,MERSEYSIDE,,PR9 9YF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
John Bateman Insurance Consultants Limited,01505363,JOHN BATEMAN INSURANCE CONSULTANTS LIMITED,JOHN BATEMAN INSURANCE CONSULTANTS LIMITED,01505363,WARWICK,,,CV34 4HU,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
