taco
brokerage,sic_codes,company_name,company_number,jurisdiction,last_full_members_list_date,date_of_creation,type,status,undeliverable_registered_office_address,has_been_liquidated,etag,has_insolvency_history,company_status,has_charges,registered_office_is_in_dispute,has_super_secure_pscs,can_file,registered_office_address.region,registered_office_address.postal_code,registered_office_address.locality,registered_office_address.address_line_1,accounts.next_accounts.period_end_on,accounts.next_accounts.due_on,accounts.next_accounts.overdue,accounts.next_accounts.period_start_on,accounts.last_accounts.made_up_to,accounts.last_accounts.type,accounts.last_accounts.period_start_on,accounts.last_accounts.period_end_on,accounts.next_due,accounts.next_made_up_to,accounts.accounting_reference_date.day,accounts.accounting_reference_date.month,accounts.overdue,confirmation_statement.next_made_up_to,confirmation_statement.overdue,confirmation_statement.last_made_up_to,confirmation_statement.next_due,links.self,links.filing_history,links.officers,links.persons_with_significant_control,registered_office_address.country,previous_company_names,registered_office_address.address_line_2,links.charges,links.persons_with_significant_control_statements,date_of_cessation,links.insolvency,branch_company_details.parent_company_name,branch_company_details.parent_company_number,branch_company_details.business_activity,links.overseas,external_registration_number,links.uk_establishments,foreign_company_details.accounts.must_file_within.months,foreign_company_details.accounts.account_period_to.day,foreign_company_details.accounts.account_period_to.month,foreign_company_details.accounts.account_period_from.day,foreign_company_details.accounts.account_period_from.month,foreign_company_details.accounting_requirement.foreign_account_type,foreign_company_details.accounting_requirement.terms_of_account_publication,foreign_company_details.governed_by,foreign_company_details.legal_form,foreign_company_details.originating_registry.country,foreign_company_details.originating_registry.name,foreign_company_details.business_activity,foreign_company_details.registration_number,foreign_company_details.is_a_credit_financial_institution,annual_return.last_made_up_to,links.registers,registered_office_address.care_of,super_secure_managing_officer_count,service_address.address_line_1,service_address.locality,service_address.postal_code,service_address.region,service_address.country,service_address.address_line_2,company_status_detail,partial_data_available
Aon (Cardiff) 606,['66220'],AAA INSURANCE & REINSURANCE BROKERS LIMITED,4474263,england-wales,2015-07-01,2002-07-01,ltd,active,FALSE,FALSE,1eaac1e0c25d561ded67b13891a5fddbfdfc3997,TRUE,liquidation,TRUE,FALSE,FALSE,TRUE,,EC4M 7AU,London,30 Old Bailey,2020-01-31,2021-01-31,TRUE,2019-01-01,2018-12-31,full,2018-01-01,2018-12-31,2021-01-31,2020-01-31,31,1,TRUE,2021-07-01,TRUE,2020-07-01,2021-07-15,/company/04474263,/company/04474263/filing-history,/company/04474263/officers,/company/04474263/persons-with-significant-control,,"[{'name': 'AAA INSURANCE AND REINSURANCE BROKERS LIMITED', 'ceased_on': '2002-09-26', 'effective_from': '2002-09-18'}, {'name': 'INPUTMOUNT LIMITED', 'ceased_on': '2002-09-18', 'effective_from': '2002-07-01'}]",,/company/04474263/charges,,,/company/04474263/insolvency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBC UK Ltd,,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,BR023324,,,2020-12-23,uk-establishment,,,,8635196e27bcb1555cbba315fb64efa438c053d8,,open,,,FALSE,FALSE,,EC3A 5EB,London,33 Creechurch Lane,,,,,,,,,,,,,,,,,,/company/BR023324,,,,,,,,,,,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD,FC038232,(Re)Insurance Broking,/company/FC038232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Plan (RK Harrsion),['66220'],AAA INSURANCE & REINSURANCE BROKERS LIMITED,4474263,england-wales,2015-07-01,2002-07-01,ltd,active,FALSE,FALSE,1eaac1e0c25d561ded67b13891a5fddbfdfc3997,TRUE,liquidation,TRUE,FALSE,FALSE,TRUE,,EC4M 7AU,London,30 Old Bailey,2020-01-31,2021-01-31,TRUE,2019-01-01,2018-12-31,full,2018-01-01,2018-12-31,2021-01-31,2020-01-31,31,1,TRUE,2021-07-01,TRUE,2020-07-01,2021-07-15,/company/04474263,/company/04474263/filing-history,/company/04474263/officers,/company/04474263/persons-with-significant-control,,"[{'name': 'AAA INSURANCE AND REINSURANCE BROKERS LIMITED', 'ceased_on': '2002-09-26', 'effective_from': '2002-09-18'}, {'name': 'INPUTMOUNT LIMITED', 'ceased_on': '2002-09-18', 'effective_from': '2002-07-01'}]",,/company/04474263/charges,,,/company/04474263/insolvency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston Lark Limited,"['41100', '68209']",ASTON INSURANCE BROKERS LIMITED,3192732,england-wales,2016-04-24,1996-04-30,ltd,active,FALSE,FALSE,5ec2cfb4e49140f760e8bf397a83b8e36ceec974,FALSE,active,FALSE,FALSE,FALSE,TRUE,,RM17 5ED,Essex,44/54 Orsett Road,2023-08-31,2024-05-31,FALSE,2022-09-01,2022-08-31,total-exemption-full,2021-09-01,2022-08-31,2024-05-31,2023-08-31,31,8,FALSE,2024-04-24,FALSE,2023-04-24,2024-05-08,/company/03192732,/company/03192732/filing-history,/company/03192732/officers,/company/03192732/persons-with-significant-control,,"[{'effective_from': '1996-06-24', 'ceased_on': '1996-11-12', 'name': 'ASTON INSURANCE SERVICES LIMITED'}, {'effective_from': '1996-04-30', 'name': 'VIEWLOAD LIMITED', 'ceased_on': '1996-06-24'}]",Grays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycett Browne-Swinburne & Douglass Ltd (Willis Nework),['66220'],"LYCETT, BROWNE-SWINBURNE & DOUGLASS LIMITED",706042,england-wales,2015-08-03,1961-10-19,ltd,,FALSE,FALSE,646480485bf0e607320d9c36fdaa0c7e37f9a2a0,FALSE,active,TRUE,FALSE,FALSE,TRUE,,NE1 1PP,,Milburn House,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2023-09-04,FALSE,2022-09-04,2023-09-18,/company/00706042,/company/00706042/filing-history,/company/00706042/officers,/company/00706042/persons-with-significant-control,,,Newcastle-Upon-Tyne,/company/00706042/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robins Row Ltd (Premier),['65120'],PDGD 200 LIMITED,1334524,england-wales,2016-01-17,1977-10-19,ltd,,FALSE,FALSE,bf12f4f439d60bc6cb0f7df150f9a33dc13c18cb,FALSE,dissolved,TRUE,FALSE,FALSE,FALSE,Hampshire,GU34 1HG,Alton,William Curtis House,,,,,2019-11-18,dormant,,2019-11-18,,,18,11,,,,,,/company/01334524,/company/01334524/filing-history,/company/01334524/officers,/company/01334524/persons-with-significant-control,England,"[{'ceased_on': '2021-01-06', 'name': 'ROBINSON BUCKLEY INSURANCE BROKERS LTD', 'effective_from': '2008-01-30'}, {'effective_from': '1977-10-19', 'ceased_on': '2008-01-30', 'name': 'ROBINSON BUCKLEY (INSURANCE BROKERS) LIMITED'}]",Lenten Street,/company/01334524/charges,,2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robins Row Limited (Premier),['65120'],PDGD 200 LIMITED,1334524,england-wales,2016-01-17,1977-10-19,ltd,,FALSE,FALSE,bf12f4f439d60bc6cb0f7df150f9a33dc13c18cb,FALSE,dissolved,TRUE,FALSE,FALSE,FALSE,Hampshire,GU34 1HG,Alton,William Curtis House,,,,,2019-11-18,dormant,,2019-11-18,,,18,11,,,,,,/company/01334524,/company/01334524/filing-history,/company/01334524/officers,/company/01334524/persons-with-significant-control,England,"[{'ceased_on': '2021-01-06', 'name': 'ROBINSON BUCKLEY INSURANCE BROKERS LTD', 'effective_from': '2008-01-30'}, {'effective_from': '1977-10-19', 'ceased_on': '2008-01-30', 'name': 'ROBINSON BUCKLEY (INSURANCE BROKERS) LIMITED'}]",Lenten Street,/company/01334524/charges,,2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauntlet Insurance Services Ltd,['65120'],GAUNTLET INSURANCE SERVICES LIMITED,1735637,england-wales,2016-04-12,1983-06-30,ltd,active,FALSE,FALSE,9bc645b2fcfc492d54b3b0d4478c404c540dea73,FALSE,active,TRUE,FALSE,FALSE,TRUE,,EC3R 7NE,London,7th Floor Corn Exchange,2022-12-31,2023-09-30,FALSE,2022-04-01,2022-03-31,audit-exemption-subsidiary,2021-04-01,2022-03-31,2023-09-30,2022-12-31,31,12,FALSE,2024-04-21,FALSE,2023-04-21,2024-05-05,/company/01735637,/company/01735637/filing-history,/company/01735637/officers,/company/01735637/persons-with-significant-control,England,"[{'ceased_on': '2015-04-19', 'effective_from': '1983-08-10', 'name': 'GAUNTLET HERITAGE INSURANCE SERVICES LIMITED'}, {'effective_from': '1983-06-30', 'name': 'TUDOROBIN LIMITED', 'ceased_on': '1983-08-10'}]",55 Mark Lane,/company/01735637/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan Financial Services Limited,,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,BR021299,,,2019-03-06,uk-establishment,,,,286fb49a451c6e24299c7f53121a63149721c0fa,,closed,,,FALSE,FALSE,,EC3A 7AG,London,The St Botolph Building 138 Houndsditch,,,,,,,,,,,,,,,,,,/company/BR021299,,,,,,,,,,,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED,FC036211,Insurance Intermediation,/company/FC036211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arthur J. Gallagher (UK) Ltd (Fine Art, Museums & Exhibitions)",['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Wakefield & Company Limited,['66220'],ANTHONY D EVANS (INSURANCE BROKERS) & CO LTD,9495231,england-wales,2016-03-17,2015-03-17,ltd,,FALSE,,a2c43997af1dd11bd66f5452956ed97855721256,FALSE,active,FALSE,FALSE,FALSE,TRUE,,CV4 8JA,Coventry,"Unit 22 Ensign Business Centre, Westwood Way",2023-03-31,2023-12-31,FALSE,2022-04-01,2022-03-31,total-exemption-full,2021-04-01,2022-03-31,2023-12-31,2023-03-31,31,3,FALSE,2024-03-04,FALSE,2023-03-04,2024-03-18,/company/09495231,/company/09495231/filing-history,/company/09495231/officers,/company/09495231/persons-with-significant-control,England,,Westwood Business Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (London - Private Clients),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Leicester),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willis Limited (Ipswich),"['66190', '66220']",WILLIS & COMPANY (INSURANCE BROKERS) LIMITED,NI032004,northern-ireland,2016-02-24,1997-02-26,ltd,active,FALSE,FALSE,a9e7d491b46ad689cade844e8996893a47505569,FALSE,active,TRUE,FALSE,FALSE,TRUE,,BT1 2FH,,55-59 Donegal Street,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-01-09,FALSE,2023-01-09,2024-01-23,/company/NI032004,/company/NI032004/filing-history,/company/NI032004/officers,/company/NI032004/persons-with-significant-control,,"[{'name': 'WILLIS AND DOHERTY LIMITED', 'ceased_on': '1999-04-16', 'effective_from': '1997-06-03'}, {'effective_from': '1997-02-26', 'ceased_on': '1997-06-03', 'name': 'ASTROON LIMITED'}]",Belfast,/company/NI032004/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T L Dallas & Co Ltd,,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),FC032718,united-kingdom,,2015-05-01,oversea-company,,FALSE,,49aff099ee1e3fd009e3642cd740d171cbaae8d0,FALSE,active,FALSE,,,FALSE,Beijing,,"Xichend District,","Room 1937-1943a, Building 10 - Building 6,8,10,12,16,18,",2015-12-31,,FALSE,,2014-12-31,null,,2014-12-31,,2015-12-31,,,FALSE,,,,,/company/FC032718,/company/FC032718/filing-history,/company/FC032718/officers,,,,"Xuanwumenwai Street,",,,,,,,,,110102005766463,/company/FC032718/uk-establishments,3,31,12,1,1,accounting-requirements-of-originating-country-apply,accounts-publication-date-supplied-by-company,"Company Law Of China, Insurance Law Of China - Provisions Of The Supervision & Administration Of Insurance Brokerage Institutions (2013 Revision)",Limited Private Company,CHINA,Beijing Administation For Industry And Commerce (Baic),"Establish Insurance Plans For The Insurance Applicant, Choose The Insurer, Perfo",110102005766463,FALSE,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Leeds),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towergate (Henley),['64205'],ARDONAGH ADVISORY HOLDINGS LIMITED,11550030,england-wales,,2018-09-03,ltd,,FALSE,,bcc5209a815fa579942ed3bbf6f9064fd06f0923,FALSE,active,TRUE,FALSE,FALSE,TRUE,,EC3R 7PD,London,2 Minster Court,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,audit-exemption-subsidiary,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2023-09-02,FALSE,2022-09-02,2023-09-16,/company/11550030,/company/11550030/filing-history,/company/11550030/officers,/company/11550030/persons-with-significant-control,United Kingdom,"[{'ceased_on': '2019-12-12', 'effective_from': '2018-09-03', 'name': 'TOWERGATE INSURANCE BROKING HOLDINGS LIMITED'}]",Mincing Lane,/company/11550030/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
